2026-03-06 15:15:31 | INFO     | MSSP.validation | Initialising MSSPBackbone (mock=True)...
2026-03-06 15:15:31 | INFO     | MSSP.validation | Feature extractor: dim=185
2026-03-06 15:15:31 | INFO     | MSSP.validation | Extracting 185D MSSP features...
2026-03-06 15:15:31 | INFO     | MSSP.validation | Extracting features for 'ProGAN' (8 images)...
2026-03-06 15:15:35 | INFO     | MSSP.validation |   Done: 8 images in 4.7s (1.69 img/s)
2026-03-06 15:15:35 | INFO     | MSSP.validation | Extracting features for 'Real' (8 images)...
2026-03-06 15:15:40 | INFO     | MSSP.validation |   Done: 8 images in 4.9s (1.62 img/s)
2026-03-06 15:15:40 | INFO     | MSSP.validation | Extracting features for 'SD_v1.5' (8 images)...
2026-03-06 15:15:45 | INFO     | MSSP.validation |   Done: 8 images in 4.6s (1.75 img/s)
2026-03-06 15:15:45 | INFO     | MSSP.validation | Extracting features for 'Wukong' (8 images)...
2026-03-06 15:15:49 | INFO     | MSSP.validation |   Done: 8 images in 4.5s (1.77 img/s)
2026-03-06 15:15:49 | INFO     | MSSP.validation | Features cached: ./results/step_b_mock/mssp_features.npz (shape=(32, 185))
2026-03-06 15:15:49 | INFO     | MSSP.validation | Extracting raw residuals for PSD analysis...
2026-03-06 15:15:49 | INFO     | MSSP.validation | Extracting residuals for 'Real' (8 images)...
2026-03-06 15:15:50 | INFO     | MSSP.validation | Extracting residuals for 'ProGAN' (8 images)...
2026-03-06 15:15:50 | INFO     | MSSP.validation | Extracting residuals for 'SD_v1.5' (8 images)...
2026-03-06 15:15:50 | INFO     | MSSP.validation | Extracting residuals for 'Wukong' (8 images)...
2026-03-06 15:16:15 | INFO     | MSSP | Log file: ./results/step_b_mock/step_b_mssp.log
2026-03-06 15:16:15 | INFO     | MSSP.validation | MSSP Step B Validation
2026-03-06 15:16:15 | INFO     | MSSP.validation | Args: {'mock': True, 'data_dir': None, 'model_path': '', 'num_samples': 8, 'output_dir': './results/step_b_mock', 'device': 'cpu', 'batch_size': 2, 'image_size': 256, 'seed': 42, 'skip_tests': '1,2,3,4'}
2026-03-06 15:16:15 | INFO     | MSSP.validation | Loading mock data...
2026-03-06 15:16:15 | INFO     | MSSP.validation | Mock mode: generating 8 random images per category
2026-03-06 15:16:15 | INFO     | MSSP.validation | Data loaded: 4 categories, {'Real': 8, 'ProGAN': 8, 'SD_v1.5': 8, 'Wukong': 8}
2026-03-06 15:16:15 | INFO     | MSSP.validation | Initialising MSSPBackbone (mock=True)...
2026-03-06 15:16:15 | INFO     | MSSP.validation | Feature extractor: dim=185
2026-03-06 15:16:15 | INFO     | MSSP.validation | Extracting 185D MSSP features...
